symbol,name,category,date,adj_close,source
XLE,Energy Select Sector SPDR,Sector,2022-06-01,31.074554,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2022-07-01,34.459438,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2022-08-01,35.373425,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2022-09-01,31.647141,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2022-10-01,39.979122,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2022-11-01,40.489967,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2022-12-01,38.855270,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2023-01-01,40.359478,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2023-02-01,37.559040,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2023-03-01,37.173080,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2023-04-01,38.604023,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2023-05-01,34.731377,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2023-06-01,36.808273,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2023-07-01,40.019089,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2023-08-01,40.677834,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2023-09-01,41.350315,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2023-10-01,39.259083,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2023-11-01,38.977962,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2023-12-01,38.636940,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2024-01-01,38.807983,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2024-02-01,40.078163,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2024-03-01,43.925934,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2024-04-01,43.863476,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2024-05-01,43.713390,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2024-06-01,42.751884,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2024-07-01,44.069157,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2024-08-01,43.156666,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2024-09-01,41.511341,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2024-10-01,42.230740,Yahoo Finance monthly adjusted close
